name,category,neighborhood,latitude,longitude,address,phone,email,payment_methods,osm_link,slug,still_open,still_accepts_bitcoin,payment_lightning,payment_onchain,payment_lightning_contactless,correct_name,correct_phone,correct_address,correct_category,opening_hours,verified_by,verification_method,survey_date,notes
3 West Butchery,Retail,Kibera,-1.3163135,36.7760962,"Soweto, Kibera",,,Bitcoin | Lightning | On-chain,https://www.openstreetmap.org/#map=19/-1.3163135/36.7760962,3-west-butchery,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,09:00,Afribit Africa,"Survey, visited local shop",30th April 2026,Tag Afriibit Africa
3 West Collection,Retail,Kibera,-1.3164405,36.7760668,"Soweto, Kibera",,,Bitcoin | Lightning | On-chain,https://www.openstreetmap.org/#map=19/-1.3164405/36.7760668,3-west-collection,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,08:00,Afribit Africa,"Survey, visited local shop",30th April 2027,Tag Afriibit Africa
3 West Hotel,Retail,Kibera,-1.316364,36.7761588,"Soweto, Kibera",,,Bitcoin | Lightning | On-chain,https://www.openstreetmap.org/#map=19/-1.3163640/36.7761588,3-west-hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,09:00,Afribit Africa,"Survey, visited local shop",30th April 2028,Tag Afriibit Africa
AC Gas Suppliers,Retail,Kibera,-1.3166365,36.7763873,"Soweto, Kibera",,,Bitcoin | Lightning | On-chain,https://www.openstreetmap.org/#map=19/-1.3166365/36.7763873,ac-gas-suppliers,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,07:00,Afribit Africa,"Survey, visited local shop",30th April 2029,Tag Afriibit Africa
ACGassuppliers,Transport,Kibera,-1.3165775,36.7764531,,,,Bitcoin | Lightning | On-chain | M-Pesa | Cash,https://www.openstreetmap.org/#map=19/-1.3165775/36.7764531,acgassuppliers,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,09:00,Afribit Africa,"Survey, visited local shop",30th April 2030,Tag Afriibit Africa
Abebo Vegez,Retail,Kibera,-1.3166013,36.7769412,"Soweto, Kibera",,,Bitcoin | Lightning | On-chain,https://www.openstreetmap.org/#map=19/-1.3166013/36.7769412,abebo-vegez,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,08:00,Afribit Africa,"Survey, visited local shop",30th April 2031,Tag Afriibit Africa
Black and White Fries Corner,Retail,Kibera,-1.3168452,36.77768,"Soweto, Kibera",,,Bitcoin | Lightning | On-chain,https://www.openstreetmap.org/#map=19/-1.3168452/36.7776800,black-and-white-fries-corner,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,08:00,Afribit Africa,"Survey, visited local shop",30th April 2032,Tag Afriibit Africa
Bridgeway Mini Shop,Retail,Kibera,-1.316488,36.7761101,,,,Bitcoin | M-Pesa | Cash,https://www.openstreetmap.org/#map=19/-1.3164880/36.7761101,bridgeway-mini-shop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,09:00,Afribit Africa,"Survey, visited local shop",30th April 2033,Tag Afriibit Africa
Bridgeway Shop,Retail,Kibera,-1.3164049,36.7761829,"Soweto, Kibera",,,Bitcoin | Lightning | On-chain,https://www.openstreetmap.org/#map=19/-1.3164049/36.7761829,bridgeway-shop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,08:00,Afribit Africa,"Survey, visited local shop",30th April 2034,Tag Afriibit Africa
Candy’s Collection Hub,Retail,Kibera,-1.3163849,36.7761725,"Soweto, Kibera",,,Bitcoin | Lightning | On-chain,https://www.openstreetmap.org/#map=19/-1.3163849/36.7761725,candys-collection-hub,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,09:00,Afribit Africa,"Survey, visited local shop",30th April 2035,Tag Afriibit Africa
Caronaliak,Retail,Kibera,-1.3163266,36.7763217,"Soweto, Kibera",,,Bitcoin | Lightning | On-chain,https://www.openstreetmap.org/#map=19/-1.3163266/36.7763217,caronaliak,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,08:00,Afribit Africa,"Survey, visited local shop",30th April 2036,Tag Afriibit Africa
Damaris 11,Food & Dining,Kibera,-1.316578,36.7764804,,,,Bitcoin | Lightning | On-chain | M-Pesa | Cash,https://www.openstreetmap.org/#map=19/-1.3165780/36.7764804,damaris-11,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,09:00,Afribit Africa,"Survey, visited local shop",30th April 2037,Tag Afriibit Africa
Doctor Furniture,Retail,Kibera,-1.3185377,36.7805877,"Kibera, Nairobi, Kenya",,,Bitcoin | Lightning,https://www.openstreetmap.org/#map=19/-1.3185377/36.7805877,doctor-furniture,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,07:00,Afribit Africa,"Survey, visited local shop",30th April 2038,Tag Afriibit Africa
Fred Collections,Retail,Kibera,-1.31725,36.77808,,,,Bitcoin | Lightning | On-chain | M-Pesa | Cash,https://www.openstreetmap.org/#map=19/-1.3172500/36.7780800,fred-collections,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,09:00,Afribit Africa,"Survey, visited local shop",30th April 2039,Tag Afriibit Africa
